#title = mean sea level anomaly Pacific Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.77 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2004.7416,,18.89000,,
2004.7686,22.94000,,,
2004.7687,,19.29000,,
2004.7958,,22.79000,,
2004.7960,21.44000,,,
2004.8230,12.64000,,,
2004.8232,,17.39000,,
2004.8501,,12.99000,,
2004.8502,6.14000,,,
2004.8770,16.24000,,,
2004.8773,,20.79000,,
2004.9044,,12.29000,,
2004.9045,14.04000,,,
2004.9316,,15.89000,,
2004.9317,19.74000,,,
2004.9541,15.24000,,,
2004.9589,,17.69000,,
2004.9859,7.44000,15.19000,,
2005.0129,-9.06000,,,
2005.0131,,5.19000,,
2005.0401,-3.76000,,,
2005.0402,,6.29000,,
2005.0672,8.14000,,,
2005.0675,,11.99000,,
2005.0944,18.34000,,,
2005.0945,,15.09000,,
2005.1216,16.74000,18.99000,,
2005.1487,10.84000,,,
2005.1492,,19.89000,,
2005.1758,13.24000,,,
2005.1759,,18.59000,,
2005.2031,,14.39000,,
2005.2032,8.84000,,,
2005.2300,,-0.81000,,
2005.2301,-3.36000,,,
2005.2574,,10.09000,,
2005.2575,9.94000,,,
2005.2844,,14.49000,,
2005.2847,14.44000,,,
2005.3109,0.04000,,,
2005.3116,,6.59000,,
2005.3389,,9.09000,,
2005.3393,-0.16000,,,
2005.3659,,17.39000,,
2005.3660,12.44000,,,
2005.3932,14.64000,14.79000,,
2005.4201,6.74000,,,
2005.4203,,10.99000,,
2005.4474,1.74000,8.39000,,
2005.4745,8.34000,19.49000,,
2005.5017,9.34000,21.49000,,
2005.5289,,14.89000,,
2005.5293,5.54000,,,
2005.5559,20.34000,,,
2005.5560,,21.29000,,
2005.5831,26.24000,,,
2005.5833,,25.59000,,
2005.6102,14.74000,12.79000,,
2005.6375,,15.79000,,
2005.6377,11.04000,,,
2005.6646,,27.99000,,
2005.6647,20.84000,,,
2005.6917,29.24000,33.59000,,
2005.7136,,32.99000,,
2005.7189,34.94000,,,
2005.7460,20.94000,,,
2005.7511,,20.39000,,
2005.7655,28.14000,,,
2005.7733,,27.49000,,
2005.8003,,31.99000,,
2005.8275,,34.69000,,
2005.8546,,32.39000,,
2005.8818,,33.59000,,
2005.9090,,22.99000,,
2005.9361,,18.89000,,
2005.9632,,23.09000,,
2005.9906,,31.19000,,
2006.0175,,24.19000,,
2006.0447,,11.49000,,
2006.0718,,13.79000,,
2006.0990,,15.79000,,
2006.1261,,15.09000,,
2006.1533,,11.29000,,
2006.1804,,17.99000,,
2006.2076,,13.49000,,
2006.2347,,17.49000,,
2006.2618,,13.69000,,
2006.2890,,14.69000,,
2006.3162,,9.29000,,
2006.3433,,11.89000,,
2006.3704,,13.79000,,
2006.3975,,10.59000,,
2006.4248,,12.19000,,
2006.4519,,13.19000,,
2006.4790,,14.69000,,
2006.5063,,18.19000,,
2006.5333,,20.89000,,
2006.5605,,14.99000,,
2006.5876,,21.59000,,
2006.6147,,22.19000,,
2006.6420,,20.59000,,
2006.6691,,21.39000,,
2006.6962,,23.49000,,
2006.7235,,36.19000,,
2006.7506,,32.39000,,
2006.7777,,24.99000,,
2006.8048,,20.99000,,
2006.8244,,12.19000,,
2006.8894,,26.49000,,
2006.9134,,21.99000,,
2006.9402,,22.99000,,
2006.9678,,16.09000,,
2006.9949,,14.69000,,
2007.0220,,18.99000,,
2007.0492,,11.79000,,
2007.0764,,11.69000,,
2007.1035,,11.89000,,
2007.1304,,16.29000,,
2007.1577,,16.79000,,
2007.1849,,14.89000,,
2007.2120,,12.69000,,
2007.2392,,10.19000,,
2007.2660,,8.49000,,
2007.2935,,19.69000,,
2007.3206,,16.59000,,
2007.3478,,18.39000,,
2007.3749,,14.89000,,
2007.4021,,13.79000,,
2007.4292,,4.29000,,
2007.4564,,9.69000,,
2007.4835,,5.19000,,
2007.5106,,19.19000,,
2007.5378,,12.69000,,
2007.5649,,14.49000,,
2007.5921,,23.39000,,
2007.6192,,26.09000,,
2007.6465,,19.59000,,
2007.6736,,17.09000,,
2007.7007,,23.19000,,
2007.7278,,28.69000,,
2007.7550,,21.19000,,
2007.7822,,16.79000,,
2007.8093,,18.89000,,
2007.8365,,17.59000,,
2007.8636,,25.09000,,
2007.8908,,29.39000,,
2007.9180,,21.19000,,
2007.9451,,15.39000,,
2007.9723,,8.29000,,
2007.9994,,17.69000,,
2008.0265,,21.99000,,
2008.0536,,12.69000,,
2008.0808,,9.29000,,
2008.1079,,10.49000,,
2008.1350,,18.99000,,
2008.1622,,16.39000,,
2008.1894,,16.79000,,
2008.2165,,14.19000,,
2008.2436,,14.69000,,
2008.2708,,17.89000,,
2008.2980,,10.09000,,
2008.3252,,9.39000,,
2008.3453,,13.19000,,
2008.3795,,15.79000,,
2008.4065,,10.69000,,
2008.4337,,18.09000,,
2008.4608,,17.79000,,
2008.4880,,16.19000,,
2008.5151,,19.09000,,
2008.5423,,18.79000,,
2008.5424,,,16.57000,
2008.5694,,21.09000,20.57000,
2008.5921,,32.99000,,
2008.5967,,,28.97000,
2008.6237,,,24.77000,
2008.6506,,,23.37000,
2008.6509,,22.79000,,
2008.6780,,,22.17000,
2008.6781,,24.19000,,
2008.7051,,,20.17000,
2008.7052,,19.49000,,
2008.7323,,25.99000,26.57000,
2008.7595,,23.79000,22.87000,
2008.7866,,24.99000,24.37000,
2008.8138,,18.49000,17.67000,
2008.8409,,,13.47000,
2008.8410,,13.89000,,
2008.8681,,14.49000,13.57000,
2008.8951,,,6.57000,
2008.8952,,8.89000,,
2008.9224,,23.89000,23.27000,
2008.9495,,15.99000,14.67000,
2008.9767,,,13.07000,
2008.9768,,13.09000,,
2009.0038,,24.49000,21.87000,
2009.0309,,23.49000,,
2009.0315,,,22.47000,
2009.0581,,,18.57000,
2009.0582,,22.09000,,
2009.0852,,,10.77000,
2009.1123,,,11.97000,
2009.1268,,13.79000,,
2009.1395,,,10.07000,
2009.1531,,11.99000,,
2009.1666,,,9.87000,
2009.1803,,15.39000,,
2009.1938,,,9.37000,
2009.2074,,10.89000,,
2009.2209,,,14.57000,
2009.2346,,20.09000,,
2009.2481,,,21.17000,
2009.2617,,18.09000,,
2009.2752,,,14.97000,
2009.2888,,12.69000,,
2009.3024,,,16.97000,
2009.3160,,21.09000,,
2009.3295,,,18.27000,
2009.3431,,18.19000,,
2009.3567,,,6.57000,
2009.3703,,6.29000,,
2009.3838,,,7.67000,
2009.3974,,7.89000,,
2009.4107,,,9.87000,
2009.4245,,7.39000,,
2009.4381,,,9.17000,
2009.4518,,13.19000,,
2009.4653,,,13.47000,
2009.4789,,15.89000,,
2009.4924,,,18.97000,
2009.5060,,19.19000,,
2009.5196,,,18.87000,
2009.5332,,20.29000,,
2009.5468,,,21.87000,
2009.5604,,32.09000,,
2009.5739,,,39.87000,
2009.5874,,40.39000,,
2009.6011,,,33.47000,
2009.6147,,32.19000,,
2009.6282,,,27.97000,
2009.6418,,32.09000,,
2009.6553,,,33.17000,
2009.6689,,38.09000,,
2009.6825,,,37.17000,
2009.6946,,38.09000,,
2009.7096,,,36.37000,
2009.7359,,36.09000,,
2009.7368,,,41.07000,
2009.7504,,39.69000,,
2009.7639,,,29.57000,
2009.7775,,27.09000,,
2009.7910,,,27.87000,
2009.8047,,29.49000,,
2009.8183,,,25.17000,
2009.8318,,27.09000,,
2009.8454,,,28.37000,
2009.8590,,30.89000,,
2009.8725,,,29.07000,
2009.8862,,31.39000,,
2009.8997,,,30.87000,
2009.9133,,35.59000,,
2009.9269,,,29.37000,
2009.9405,,27.59000,,
2009.9539,,,18.07000,
2009.9676,,25.69000,,
2009.9811,,,22.67000,
2009.9947,,22.19000,,
2010.0083,,,23.77000,
2010.0219,,31.39000,,
2010.0354,,,27.97000,
2010.0491,,28.79000,,
2010.0625,,,24.47000,
2010.0762,,21.89000,,
2010.0897,,,19.27000,
2010.1033,,24.69000,,
2010.1169,,,17.77000,
2010.1305,,19.89000,,
2010.1440,,,18.27000,
2010.1576,,21.29000,,
2010.1712,,,20.37000,
2010.1850,,21.49000,,
2010.1983,,,19.47000,
2010.2119,,22.09000,,
2010.2255,,,19.87000,
2010.2390,,19.49000,,
2010.2526,,,19.37000,
2010.2656,,21.39000,,
2010.2798,,,22.17000,
2010.2934,,26.39000,,
2010.3068,,,24.97000,
2010.3205,,22.59000,,
2010.3341,,,15.67000,
2010.3476,,13.29000,,
2010.3612,,,14.17000,
2010.3748,,19.39000,,
2010.3883,,,20.87000,
2010.4019,,18.49000,,
2010.4155,,,18.87000,
2010.4273,,13.59000,,
2010.4426,,,10.47000,
2010.4562,,11.09000,,
2010.4698,,,14.97000,
2010.4832,,11.89000,,
2010.4968,,,12.57000,
2010.5105,,9.09000,,
2010.5241,,,18.97000,
2010.5377,,22.39000,,
2010.5512,,,25.57000,
2010.5641,,24.99000,,
2010.5784,,,25.07000,
2010.5920,,24.69000,,
2010.6055,,,14.47000,
2010.6192,,16.29000,,
2010.6327,,,14.67000,
2010.6462,,16.59000,,
2010.6598,,,12.07000,
2010.6734,,12.89000,,
2010.6870,,,11.17000,
2010.7006,,12.89000,,
2010.7141,,,9.77000,
2010.7277,,9.69000,,
2010.7413,,,15.47000,
2010.7549,,19.99000,,
2010.7684,,,24.17000,
2010.7820,,16.09000,,
2010.7955,,,19.17000,
2010.8093,,18.89000,,
2010.8227,,,20.47000,
2010.8363,,23.49000,,
2010.8498,,,24.27000,
2010.8635,,19.19000,,
2010.8770,,,16.07000,
2010.8906,,10.09000,,
2010.9042,,,10.37000,
2010.9177,,8.19000,,
2010.9313,,,12.87000,
2010.9449,,16.69000,,
2010.9584,,,15.47000,
2010.9721,,17.19000,,
2010.9856,,,16.27000,
2010.9992,,17.09000,,
2011.0128,,,15.77000,
2011.0263,,12.99000,,
2011.0398,,,11.97000,
2011.0536,,15.89000,,
2011.0669,,,16.47000,
2011.0807,,12.29000,,
2011.0942,,,8.87000,
2011.1077,,10.09000,,
2011.1213,,,9.07000,
2011.1350,,7.79000,,
2011.1485,,,8.07000,
2011.1621,,7.19000,,
2011.1756,,,6.27000,
2011.1893,,8.09000,,
2011.2028,,,11.87000,
2011.2164,,11.59000,,
2011.2299,,,9.17000,
2011.2435,,12.89000,,
2011.2570,,,15.67000,
2011.2705,,9.99000,,
2011.2842,,,12.57000,
2011.2978,,11.99000,,
2011.3114,,,9.17000,
2011.3250,,2.89000,,
2011.3385,,,6.87000,
2011.3520,,7.09000,,
2011.3657,,,11.77000,
2011.3792,,13.49000,,
2011.3928,,,18.77000,
2011.4065,,13.69000,,
2011.4199,,,13.57000,
2011.4335,,9.69000,,
2011.4471,,,14.67000,
2011.4607,,17.79000,,
2011.4743,,,18.87000,
2011.4878,,12.29000,,
2011.5013,,,16.27000,
2011.5151,,16.99000,,
2011.5286,,,19.17000,
2011.5421,,13.29000,,
2011.5557,,,18.27000,
2011.5693,,22.29000,,
2011.5829,,,26.37000,
2011.5964,,24.59000,,
2011.6100,,,27.77000,
2011.6236,,22.99000,,
2011.6370,,,28.77000,
2011.6508,,29.19000,,
2011.6643,,,32.37000,
2011.6777,,28.39000,,
2011.6915,,,27.97000,
2011.7050,,23.09000,,
2011.7186,,,28.47000,
2011.7320,,34.19000,,
2011.7458,,,36.47000,
2011.7592,,31.29000,,
2011.7729,,,32.97000,
2011.7866,,27.39000,,
2011.8001,,,24.77000,
2011.8136,,12.09000,,
2011.8272,,,21.27000,
2011.8408,,19.59000,,
2011.8543,,,22.87000,
2011.8680,,19.39000,,
2011.8815,,,25.37000,
2011.8951,,25.99000,,
2011.9087,,,23.47000,
2011.9221,,19.39000,,
2011.9358,,,14.27000,
2011.9494,,14.49000,,
2011.9630,,,20.57000,
2011.9765,,19.89000,,
2011.9902,,,22.37000,
2012.0037,,20.49000,,
2012.0173,,,30.77000,
2012.0308,,26.59000,,
2012.0444,,,23.67000,
2012.0580,,21.09000,,
2012.0715,,,29.77000,
2012.0849,,27.39000,,
2012.0986,,,22.47000,
2012.1120,,16.19000,,
